Link 0: text='E-Paper', href='https://epaper.udayavani.com/'
Link 1: text='SUBSCRIBE', href='https://www.readwhere.com/publisher/udayavanionline/18739'
Link 2: text='', href='/'
Link 3: text='', href='/'
Link 4: text='Search News', href='/search'
Link 5: text='Android', href='https://play.google.com/store/apps/details?id=com.manipalsystems.UdayavaniNews'
Link 6: text='iOS', href='https://apps.apple.com/in/app/udayavani-news/id496829616'
Link 7: text='', href='/'
Link 8: text='E-Paper', href='https://epaper.udayavani.com/'
Link 9: text='ಮುಖಪುಟ', href='/'
Link 10: text='ಸುದ್ದಿ ವಿಭಾಗ', href='/newsmenu'
Link 11: text='ದಿನ ಭವಿಷ್ಯ', href='/DailyHoroscope'
Link 12: text='ಹೊಂಗಿರಣ', href='/veriety'
Link 13: text='Search', href='/search'
Link 14: text='ಸುದ್ದಿಗಳು', href='/news_menu/news-section/685541abd3279fb061cfd8fe?lang=kn'
Link 15: text='ನಿಮ್ಮ ಜಿಲ್ಲೆ', href='/news_menu/district-news/685541abd3279fb061cfd90a?lang=kn'
Link 16: text='IPL ಸ್ಪೆಷಲ್‌', href='/news_menu/indian-premier-league/685541abd3279fb061cfd8f8?lang=kn'
Link 17: text='ಇಸ್ರೇಲ್- ಇರಾನ್‌ ಯುದ್ಧ', href='/news_menu/Israel-Iran-war/69a2e0dd9153429e93622d23?lang=kn'
Link 18: text='ಸಿನೆಮಾ', href='/news_menu/cinema/685541abd3279fb061cfd90d?lang=kn'
Link 19: text='ಕ್ರೀಡೆ', href='/news_menu/sports-news/685541b6d3279fb061cfdabd?lang=kn'
Link 20: text='ವೆಬ್ ಎಕ್ಸ್‌ಕ್ಲೂಸಿವ್', href='/news_menu/web-exclusives/685541acd3279fb061cfd91f?lang=kn'
Link 21: text='ಕ್ರೈಮ್', href='/news_menu/crime/685541b8d3279fb061cfdb24?lang=kn'
Link 22: text='ವೈವಿಧ್ಯ', href='/news_menu/vaividya-diversity/685541acd3279fb061cfd913?lang=kn'
Link 23: text='ಶಿಕ್ಷಣ / ಉದ್ಯೋಗ', href='/news_menu/new-job-news/685541acd3279fb061cfd922?lang=kn'
Link 24: text='ಆರೋಗ್ಯ', href='/news_menu/health-health/685541b5d3279fb061cfda93?lang=kn'
Link 25: text='ಅನಿವಾಸಿ ಕನ್ನಡಿಗ', href='/news_menu/nri-news/685541b7d3279fb061cfdaf3?lang=kn'
Link 26: text='ಸೆಲೆಬ್ರಿಟಿ ಕಾರ್ನರ್‌', href='/news_menu/celebrity-corner/685541b9d3279fb061cfdb36?lang=kn'
Link 27: text='Explainer', href='/news_menu/explainer-analysis/685541b9d3279fb061cfdb48?lang=kn'
Link 28: text='ಜ್ಯೋತಿಷ್ಯ', href='/news_menu/horoscope/684a61f9c9e28d6f877f6eb6?lang=kn'
Link 29: text='ರಾಶಿ ಫಲ', href='/news_menu/rashi-phala/685541acd3279fb061cfd931?lang=kn'
Link 30: text='ಪುಟಾಣಿ ಪ್ರಪಂಚ', href='/news_menu/small-world/6875f893284381a341eb1df3?lang=kn'
Link 31: text='ವೀಡಿಯೊ ಗ್ಯಾಲರಿ', href='/news_menu/video-gallary/684a6202c9e28d6f877f6eb7?lang=kn'
Link 32: text='ಫೋಟೋ ಗ್ಯಾಲರಿ', href='/news_menu/photo-gallary/684a620cc9e28d6f877f6eb8?lang=kn'
Link 33: text='ರೀಲ್ಸ್', href='/news_menu/reels/684a621ac9e28d6f877f6eb9?lang=kn'
Link 34: text='ಫ್ಯಾಶನ್/ಲೈಫ್‌ ಸ್ಟೈಲ್', href='/news_menu/fashion-lifestyle/685541b1d3279fb061cfda06?lang=kn'
Link 35: text='E-PAPER', href='https://epaper.udayavani.com/'
Link 36: text='UV PODCAST', href='/uv-podcast?lang=kn'
Link 37: text='CONTACT US', href='/contact-us?lang=kn'
